s	sd	sd/s	U	min_Kolmogorov	RMSE
0.001	0.00109	1.09	0.00057	0.0097412683770368	0.0031618665799824
0.001	0.0012	1.2	0.00045	0.0081813445113227	0.0027473460974989
0.001	0.00024	0.24	0.00564	0.0001280656849899	4.103082318712958e-05
0.001	0.00083	0.83	0.00126	0.0183463447430771	0.0059017814636613
0.001	0.00191	1.91	0.00018	0.0090914281467101	0.0034041853325516
0.001	0.00119	1.1900000000000002	0.00048	0.0088455818893006	0.0029499504020669
0.001	0.00054	0.54	0.00387	0.0014015864297837	0.0004760799536781
0.001	0.00094	0.94	0.00084	0.0127967747667557	0.005002365997647
0.001	0.00106	1.0599999999999998	0.00066	0.0085426808985921	0.0030817298528922
0.001	0.00122	1.22	0.00045	0.007689427042741	0.0029472942430374
0.001	0.0015	1.5	0.00024	0.0057011756372917	0.002074483708134
0.001	0.00048	0.48	0.00414	0.0013292459630812	0.0003762816639878
0.001	0.00047	0.47	0.00456	0.0013408850585189	0.0004288201402509
0.001	0.00099	0.99	0.00075	0.0125293949787919	0.0041811272179483
0.001	0.00076	0.76	0.00159	0.0152801519138793	0.0056793312639895
0.001	0.00045	0.44999999999999996	0.00453	0.0009374198539376	0.0002624190909983
0.001	0.0009	0.8999999999999999	0.00105	0.0160443344322828	0.0056053124572241
0.001	0.00147	1.47	0.00027	0.0046527703007874	0.0018861164547061
0.001	0.00064	0.64	0.00294	0.005346142264859	0.0016434256388691
0.001	0.00015	0.15	0.0057	0.0008065216024106	0.0002427303893713
0.001	0.00159	1.59	0.00024	0.0075803854575311	0.0027125774918383
0.001	0.00175	1.75	0.00018	0.0078171326996944	0.0028940371363408
0.001	0.0002	0.2	0.00567	0.0017449086627968	0.000553641989017
0.001	0.00193	1.93	0.00018	0.0093393233599865	0.0034688960409509
0.001	0.00058	0.58	0.00357	0.003037759175858	0.0008759924701345
0.001	0.00013	0.12999999999999998	0.00573	0.0004970317415704	0.000168793419395
0.001	0.00073	0.73	0.00195	0.0136793760073118	0.004387302654479
0.001	0.00112	1.1199999999999999	0.00057	0.0081993567764722	0.0028781594690867
0.001	0.00105	1.0499999999999998	0.00066	0.0124460249855852	0.0039629172213697
0.001	0.00154	1.5399999999999998	0.00024	0.0075942721454959	0.0027296839050577
