sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
52	3703210241	5000.0	0.001	0.00124	0.006	0.543555	0.0004206358728254349,0.008638272345530894,0.028161607678464307,0.0736621875624875,0.16802871425714858,0.2070996200759848,0.19243963207358528,0.13558124375124975,0.08444359128174365,0.046025754849030195,0.027543011397720456,0.014966446710657869,0.006735212957408518,0.0019891621675664868,0.0009306138772245551,0.0020819436112777443,0.0009290941811637672,0.0003018196360727854,1.9756048790241953e-05,1.6796640671865626e-06
40	2657292441	5000.0	0.001	0.00124	0.006	0.687112	0.001731373725254949,0.008171885622875425,0.02152113577284543,0.07012785442911418,0.10890861827634474,0.14738500299940013,0.1704854629074185,0.16689626074785044,0.12665454909018195,0.08248142371525695,0.05146426714657069,0.024854309138172364,0.011352689462107579,0.005035952809438113,0.002010637872425515,0.0005125774845030994,0.00024707058588282343,0.000139372125574885,1.927614477104579e-05,2.7994401119776043e-07
53	1922001153	5000.0	0.001	0.00124	0.006	0.643415	0.0007000199960007998,0.006809078184363128,0.01482623475304939,0.03035104979004199,0.0323130173965207,0.022983483303339332,0.028642031593681262,0.0385881223755249,0.048347170565886825,0.06632189562087583,0.07555808838232353,0.12599496100779844,0.15358592281543693,0.1325021395720856,0.09179520095980803,0.057274025194961005,0.034317696460707856,0.01991605678864227,0.009895300939812038,0.005198440311937612,0.0031194561087782443,0.000834753049390122,0.00010677864427114576,1.879624075184963e-05,2.7994401119776043e-07
50	1568235755	5000.0	0.001	0.00124	0.006	0.708404	0.003079624075184963,0.006447630473905219,0.010411557688462308,0.03795156968606279,0.09611885622875425,0.17129426114777044,0.19372209558088382,0.16875716856628675,0.12998972205558887,0.08386722655468906,0.04866650669866027,0.025026914617076585,0.015258468306338733,0.006351369726054789,0.0023686862627474506,0.0005548090381923616,0.00011165766846630674,2.1835632873425314e-05,3.9992001599680065e-08
58	2148059413	5000.0	0.001	0.00124	0.006	0.762843	0.0009205358928214357,0.00594753049390122,0.012484143171365727,0.024768126374725054,0.05297424515096981,0.08859232153569287,0.1405778844231154,0.16187886422715456,0.16143611277744452,0.14989734053189363,0.09357680463907218,0.05728974205158968,0.03065494901019796,0.012489862027594481,0.0050425514897020594,0.0012068386322735454,0.00020539892021595682,5.1629674065186965e-05,5.118976204759048e-06
46	4288194769	5000.0	0.001	0.00124	0.006	0.655288	0.0006072385522895421,0.0034128374325134974,0.007399680063987202,0.013425954809038193,0.03825598880223955,0.07643223355328935,0.11978180363927214,0.15278000399920016,0.13751581683663266,0.12343451309738053,0.09636664667066587,0.0826483103379324,0.06809822035592882,0.040636032793441315,0.021392161567686464,0.009205958808238353,0.004778404319136172,0.0026495500899820037,0.0007031793641271745,0.0002559488102379524,7.962407518496301e-05,6.90261947610478e-05,6.494701059788043e-05,5.838832233553289e-06,7.998400319936013e-08
41	1790042279	5000.0	0.001	0.00124	0.006	0.626951	0.0009225754849030193,0.00930377924415117,0.02887994401119776,0.0686997800439912,0.1406511897620476,0.16979516096780645,0.17227886422715458,0.1338251949610078,0.09483407318536292,0.07303043391321735,0.0488879024195161,0.022845710857828435,0.014852349530093982,0.010460467906418715,0.00577368526294741,0.0034933013397320536,0.001314497100579884,0.0001428514297140572,8.238352329534093e-06
54	3586423045	5000.0	0.001	0.00124	0.006	0.814985	0.001280983803239352,0.005112817436512697,0.01428506298740252,0.034669386122775446,0.056974565086982606,0.09276972605478905,0.11674809038192362,0.11298352329534093,0.09451477704459108,0.08192901419716057,0.098049950009998,0.09192309538092382,0.07313645270945811,0.05531805638872225,0.03467886422715457,0.020861747650469907,0.009855348930213958,0.0035765246950609877,0.0010007598480303939,0.00020735852829434112,0.00010713857228554289,1.4877024595080984e-05,1.799640071985603e-06,7.998400319936013e-08
55	1504028934	5000.0	0.001	0.00124	0.006	0.601821	0.0016272745450909819,0.013140691861627675,0.05566878624275145,0.13460431913617277,0.1927753649270146,0.1823742051589682,0.1612884623075385,0.11289870025994801,0.06411581683663267,0.0337375324935013,0.020615476904619075,0.009120415916816636,0.007664867026594681,0.005028114377124575,0.003529854029194161,0.0010208358328334334,0.0005517296540691861,0.0001958008398320336,3.523295340931814e-05,6.47870425914817e-06,3.9992001599680065e-08
44	3247085773	5000.0	0.001	0.00124	0.006	0.615854	0.0008454309138172366,0.005129414117176565,0.014315216956608678,0.03520807838432313,0.07471493701259747,0.13399300139972006,0.1767374525094981,0.18348118376324735,0.15721939612077585,0.10552133573285342,0.05783615276944611,0.032756768646270744,0.015005318936212757,0.005090621875624875,0.001746130773845231,0.0003544891021795641,4.435112977404519e-05,7.198560287942411e-07
57	1038268689	5000.0	0.001	0.00124	0.006	0.896872	0.0005078184363127374,0.0021392921415716855,0.01699772045590882,0.05174701059788042,0.09534817036592681,0.128724175164967,0.14394745050989802,0.1378503099380124,0.14156556688662267,0.11371901619676064,0.07976412717456509,0.04353513297340532,0.023246550689862026,0.013836472705458909,0.005613277344531094,0.0011756448710257949,0.0002479104179164167,3.423315336932613e-05,1.199760047990402e-07
59	2104957206	5000.0	0.001	0.00124	0.006	0.681929	0.0034443111377724456,0.015363327334533093,0.044974805038992205,0.08621987602479504,0.1425124975004999,0.1852517096580684,0.19274765046990602,0.14035420915816837,0.08829306138772246,0.04854489102179564,0.02510961807638472,0.01232629474105179,0.004635592881423715,0.004614597080583883,0.0032245550889822036,0.0013374125174965008,0.0003918016396720656,0.00014381123775244952,0.00032669466106778644,0.0001532893421315737,2.9754049190161967e-05,2.399520095980804e-07
